year,county,fips,yield_bu_acre
2019,Audubon,19009,216.0
2020,Audubon,19009,170.8
2021,Audubon,19009,216.0
2022,Audubon,19009,197.9
2023,Audubon,19009,197.6
2024,Audubon,19009,224.2
2025,Audubon,19009,224.7
2000,Benton,19011,148.7
2001,Benton,19011,160.2
2002,Benton,19011,177.8
2003,Benton,19011,168.0
2004,Benton,19011,171.8
2005,Benton,19011,170.0
2006,Benton,19011,171.4
2007,Benton,19011,180.2
2008,Benton,19011,179.0
2009,Benton,19011,184.7
2010,Benton,19011,179.0
2011,Benton,19011,157.2
2012,Benton,19011,129.3
2013,Benton,19011,163.7
2014,Benton,19011,185.4
2015,Benton,19011,187.5
2016,Benton,19011,199.9
2017,Benton,19011,215.3
2018,Benton,19011,214.6
2019,Benton,19011,197.6
2020,Benton,19011,144.8
2021,Benton,19011,211.7
2022,Benton,19011,221.7
2023,Benton,19011,199.7
2024,Benton,19011,238.6
2000,Black Hawk,19013,144.0
2001,Black Hawk,19013,162.7
2002,Black Hawk,19013,176.7
2003,Black Hawk,19013,151.3
2004,Black Hawk,19013,178.1
2005,Black Hawk,19013,180.7
2006,Black Hawk,19013,185.5
2007,Black Hawk,19013,176.7
2008,Black Hawk,19013,165.0
2009,Black Hawk,19013,173.2
2010,Black Hawk,19013,170.4
2011,Black Hawk,19013,186.1
2012,Black Hawk,19013,126.4
2013,Black Hawk,19013,166.1
2014,Black Hawk,19013,165.2
2015,Black Hawk,19013,192.9
2016,Black Hawk,19013,206.4
2017,Black Hawk,19013,209.2
2018,Black Hawk,19013,206.2
2019,Black Hawk,19013,205.1
2020,Black Hawk,19013,169.8
2021,Black Hawk,19013,193.6
2022,Black Hawk,19013,202.4
2024,Black Hawk,19013,205.9
2025,Black Hawk,19013,207.2
2000,Boone,19015,154.5
2001,Boone,19015,154.0
2002,Boone,19015,171.0
2003,Boone,19015,170.4
2004,Boone,19015,192.2
2005,Boone,19015,192.4
2006,Boone,19015,172.7
2007,Boone,19015,182.2
2008,Boone,19015,166.0
2009,Boone,19015,183.4
2010,Boone,19015,162.5
2011,Boone,19015,182.5
2012,Boone,19015,147.1
2013,Boone,19015,154.2
2014,Boone,19015,180.9
2015,Boone,19015,192.3
2016,Boone,19015,208.4
2017,Boone,19015,192.4
2018,Boone,19015,193.7
2019,Boone,19015,194.8
2020,Boone,19015,160.7
2021,Boone,19015,208.4
2022,Boone,19015,202.4
2023,Boone,19015,226.5
2024,Boone,19015,217.6
2025,Boone,19015,209.9
2000,Bremer,19017,151.3
2001,Bremer,19017,161.0
2002,Bremer,19017,184.1
2003,Bremer,19017,152.7
2004,Bremer,19017,184.5
2005,Bremer,19017,193.0
2006,Bremer,19017,183.1
2007,Bremer,19017,181.4
2008,Bremer,19017,161.0
2009,Bremer,19017,188.9
2010,Bremer,19017,174.6
2011,Bremer,19017,196.5
2012,Bremer,19017,133.3
2013,Bremer,19017,175.1
2014,Bremer,19017,159.0
2015,Bremer,19017,203.1
2016,Bremer,19017,210.6
2017,Bremer,19017,212.7
2018,Bremer,19017,212.4
2019,Bremer,19017,212.5
2020,Bremer,19017,187.6
2021,Bremer,19017,200.1
2022,Bremer,19017,210.8
2023,Bremer,19017,199.9
2024,Bremer,19017,205.9
2025,Bremer,19017,213.1
2000,Buchanan,19019,140.6
2001,Buchanan,19019,166.6
2002,Buchanan,19019,183.1
2003,Buchanan,19019,159.4
2004,Buchanan,19019,163.0
2005,Buchanan,19019,178.7
2006,Buchanan,19019,180.8
2007,Buchanan,19019,173.9
2008,Buchanan,19019,167.0
2009,Buchanan,19019,170.5
2010,Buchanan,19019,167.5
2011,Buchanan,19019,187.0
2012,Buchanan,19019,140.4
2013,Buchanan,19019,168.8
2014,Buchanan,19019,169.3
2015,Buchanan,19019,191.6
2016,Buchanan,19019,205.6
2017,Buchanan,19019,221.3
2018,Buchanan,19019,207.1
2019,Buchanan,19019,218.9
2020,Buchanan,19019,188.3
2021,Buchanan,19019,209.0
2022,Buchanan,19019,209.7
2023,Buchanan,19019,190.7
2024,Buchanan,19019,220.8
2025,Buchanan,19019,208.9
2000,Buena Vista,19021,135.7
2001,Buena Vista,19021,144.4
2002,Buena Vista,19021,159.2
2003,Buena Vista,19021,160.0
2004,Buena Vista,19021,192.5
2005,Buena Vista,19021,185.3
2006,Buena Vista,19021,143.3
2007,Buena Vista,19021,163.0
2008,Buena Vista,19021,179.0
2009,Buena Vista,19021,190.7
2010,Buena Vista,19021,178.3
2011,Buena Vista,19021,180.2
2012,Buena Vista,19021,148.2
2013,Buena Vista,19021,160.5
2014,Buena Vista,19021,172.1
2015,Buena Vista,19021,202.7
2016,Buena Vista,19021,201.1
2017,Buena Vista,19021,187.9
2018,Buena Vista,19021,193.1
2019,Buena Vista,19021,190.8
2020,Buena Vista,19021,183.9
2021,Buena Vista,19021,203.9
2022,Buena Vista,19021,196.9
2023,Buena Vista,19021,212.0
2025,Buena Vista,19021,210.0
2000,Butler,19023,140.9
2001,Butler,19023,157.9
2002,Butler,19023,175.1
2003,Butler,19023,160.1
2004,Butler,19023,187.9
2005,Butler,19023,185.6
2006,Butler,19023,176.6
2007,Butler,19023,176.2
2008,Butler,19023,175.0
2009,Butler,19023,181.8
2010,Butler,19023,180.5
2011,Butler,19023,186.7
2012,Butler,19023,122.0
2013,Butler,19023,179.2
2014,Butler,19023,167.7
2015,Butler,19023,193.3
2016,Butler,19023,207.3
2017,Butler,19023,211.4
2018,Butler,19023,211.3
2019,Butler,19023,209.5
2020,Butler,19023,192.8
2021,Butler,19023,204.5
2022,Butler,19023,212.4
2023,Butler,19023,183.1
2024,Butler,19023,209.8
2025,Butler,19023,210.8
2000,Calhoun,19025,149.5
2001,Calhoun,19025,144.2
2002,Calhoun,19025,166.8
2003,Calhoun,19025,160.0
2004,Calhoun,19025,184.2
2005,Calhoun,19025,182.5
2006,Calhoun,19025,165.5
2007,Calhoun,19025,180.2
2008,Calhoun,19025,178.0
2009,Calhoun,19025,168.3
2010,Calhoun,19025,173.3
2011,Calhoun,19025,181.9
2012,Calhoun,19025,134.8
2013,Calhoun,19025,132.6
2014,Calhoun,19025,189.6
2015,Calhoun,19025,194.7
2016,Calhoun,19025,207.3
2017,Calhoun,19025,195.1
2018,Calhoun,19025,193.3
2019,Calhoun,19025,198.8
2020,Calhoun,19025,159.6
2021,Calhoun,19025,217.8
2022,Calhoun,19025,202.3
2023,Calhoun,19025,201.6
2024,Calhoun,19025,228.8
2025,Calhoun,19025,214.6
2000,Carroll,19027,136.4
2001,Carroll,19027,142.7
2002,Carroll,19027,159.2
2003,Carroll,19027,161.8
2004,Carroll,19027,193.5
2005,Carroll,19027,177.0
2006,Carroll,19027,162.5
2007,Carroll,19027,169.3
2008,Carroll,19027,179.0
2009,Carroll,19027,200.1
2010,Carroll,19027,182.0
2011,Carroll,19027,180.2
2012,Carroll,19027,105.3
2013,Carroll,19027,136.5
2014,Carroll,19027,188.6
2015,Carroll,19027,195.4
2016,Carroll,19027,203.1
2017,Carroll,19027,211.3
2018,Carroll,19027,208.4
2019,Carroll,19027,219.7
2020,Carroll,19027,150.6
2021,Carroll,19027,218.3
2022,Carroll,19027,195.7
2023,Carroll,19027,196.7
2024,Carroll,19027,240.9
2000,Cass,19029,132.2
2001,Cass,19029,126.7
2002,Cass,19029,135.0
2003,Cass,19029,133.2
2004,Cass,19029,192.3
2005,Cass,19029,168.2
2006,Cass,19029,170.8
2007,Cass,19029,157.5
2008,Cass,19029,174.0
2009,Cass,19029,182.4
2010,Cass,19029,155.1
2011,Cass,19029,175.2
2012,Cass,19029,120.4
2013,Cass,19029,159.5
2014,Cass,19029,173.7
2015,Cass,19029,193.7
2016,Cass,19029,195.9
2017,Cass,19029,197.4
2018,Cass,19029,169.5
2019,Cass,19029,200.3
2020,Cass,19029,177.5
2021,Cass,19029,212.4
2022,Cass,19029,179.2
2024,Cass,19029,217.0
2025,Cass,19029,188.4
2000,Cedar,19031,147.1
2001,Cedar,19031,172.7
2002,Cedar,19031,187.0
2003,Cedar,19031,180.1
2004,Cedar,19031,188.8
2005,Cedar,19031,144.4
2006,Cedar,19031,181.6
2007,Cedar,19031,184.2
2008,Cedar,19031,180.0
2009,Cedar,19031,191.5
2010,Cedar,19031,174.4
2011,Cedar,19031,184.9
2012,Cedar,19031,158.9
2013,Cedar,19031,169.7
2014,Cedar,19031,184.1
2015,Cedar,19031,188.8
2016,Cedar,19031,215.3
2017,Cedar,19031,222.3
2018,Cedar,19031,222.3
2019,Cedar,19031,193.7
2020,Cedar,19031,153.3
2021,Cedar,19031,207.1
2022,Cedar,19031,221.4
2023,Cedar,19031,205.7
2024,Cedar,19031,236.2
2025,Cedar,19031,215.0
2000,Cerro Gordo,19033,149.4
2001,Cerro Gordo,19033,146.8
2002,Cerro Gordo,19033,168.5
2003,Cerro Gordo,19033,161.5
2004,Cerro Gordo,19033,168.2
2005,Cerro Gordo,19033,184.0
2006,Cerro Gordo,19033,169.1
2007,Cerro Gordo,19033,173.2
2008,Cerro Gordo,19033,166.0
2009,Cerro Gordo,19033,169.8
2010,Cerro Gordo,19033,173.0
2011,Cerro Gordo,19033,169.3
2012,Cerro Gordo,19033,124.8
2013,Cerro Gordo,19033,163.1
2014,Cerro Gordo,19033,168.3
2015,Cerro Gordo,19033,196.9
2016,Cerro Gordo,19033,193.6
2017,Cerro Gordo,19033,208.9
2018,Cerro Gordo,19033,184.4
2019,Cerro Gordo,19033,191.8
2020,Cerro Gordo,19033,182.5
2021,Cerro Gordo,19033,200.0
2022,Cerro Gordo,19033,216.9
2024,Cerro Gordo,19033,199.7
2025,Cerro Gordo,19033,196.3
2000,Cherokee,19035,119.9
2001,Cherokee,19035,150.0
2002,Cherokee,19035,161.9
2003,Cherokee,19035,165.2
2004,Cherokee,19035,187.1
2005,Cherokee,19035,185.5
2006,Cherokee,19035,144.4
2007,Cherokee,19035,166.5
2008,Cherokee,19035,196.0
2009,Cherokee,19035,201.9
2010,Cherokee,19035,186.9
2011,Cherokee,19035,176.7
2012,Cherokee,19035,158.7
2013,Cherokee,19035,185.1
2014,Cherokee,19035,183.6
2015,Cherokee,19035,209.6
2016,Cherokee,19035,219.7
2017,Cherokee,19035,203.7
2018,Cherokee,19035,213.3
2019,Cherokee,19035,208.9
2020,Cherokee,19035,185.7
2022,Cherokee,19035,198.7
2023,Cherokee,19035,211.7
2024,Cherokee,19035,207.1
2025,Cherokee,19035,225.4
2000,Chickasaw,19037,144.4
2001,Chickasaw,19037,140.3
2002,Chickasaw,19037,172.6
2003,Chickasaw,19037,146.6
2004,Chickasaw,19037,175.0
2005,Chickasaw,19037,187.2
2006,Chickasaw,19037,174.6
2007,Chickasaw,19037,168.8
2008,Chickasaw,19037,159.0
2009,Chickasaw,19037,169.3
2010,Chickasaw,19037,182.0
2011,Chickasaw,19037,188.8
2012,Chickasaw,19037,125.8
2013,Chickasaw,19037,171.8
2014,Chickasaw,19037,157.6
2015,Chickasaw,19037,202.8
2016,Chickasaw,19037,206.6
2017,Chickasaw,19037,194.4
2018,Chickasaw,19037,192.9
2019,Chickasaw,19037,212.1
2020,Chickasaw,19037,185.7
2021,Chickasaw,19037,208.2
2022,Chickasaw,19037,214.6
2023,Chickasaw,19037,198.9
2024,Chickasaw,19037,206.5
2025,Chickasaw,19037,219.6
2000,Clarke,19039,127.8
2001,Clarke,19039,123.7
2002,Clarke,19039,131.5
2003,Clarke,19039,114.2
2004,Clarke,19039,157.1
2005,Clarke,19039,146.3
2006,Clarke,19039,147.0
2007,Clarke,19039,151.3
2008,Clarke,19039,109.0
2009,Clarke,19039,138.9
2010,Clarke,19039,84.5
2011,Clarke,19039,107.7
2012,Clarke,19039,76.7
2013,Clarke,19039,126.5
2014,Clarke,19039,162.2
2015,Clarke,19039,152.4
2016,Clarke,19039,163.9
2018,Clarke,19039,161.8
2020,Clarke,19039,155.2
2024,Clarke,19039,183.9
2000,Clay,19041,153.1
2001,Clay,19041,136.7
2002,Clay,19041,143.6
2003,Clay,19041,160.1
2004,Clay,19041,183.4
2005,Clay,19041,183.1
2006,Clay,19041,159.6
2007,Clay,19041,163.6
2008,Clay,19041,175.0
2009,Clay,19041,184.2
2010,Clay,19041,177.6
2011,Clay,19041,185.4
2012,Clay,19041,170.1
2013,Clay,19041,167.2
2014,Clay,19041,166.3
2015,Clay,19041,202.8
2016,Clay,19041,202.0
2017,Clay,19041,197.3
2018,Clay,19041,158.5
2019,Clay,19041,185.5
2020,Clay,19041,168.1
2021,Clay,19041,203.3
2022,Clay,19041,191.4
2023,Clay,19041,203.9
2024,Clay,19041,176.1
2025,Clay,19041,212.1
2000,Clayton,19043,147.2
2001,Clayton,19043,152.5
2002,Clayton,19043,172.5
2003,Clayton,19043,160.6
2004,Clayton,19043,176.3
2005,Clayton,19043,180.9
2006,Clayton,19043,173.2
2007,Clayton,19043,173.6
2008,Clayton,19043,171.0
2009,Clayton,19043,172.1
2010,Clayton,19043,176.9
2011,Clayton,19043,186.8
2012,Clayton,19043,152.9
2013,Clayton,19043,181.2
2014,Clayton,19043,176.7
2015,Clayton,19043,193.2
2016,Clayton,19043,210.3
2017,Clayton,19043,213.6
2018,Clayton,19043,201.5
2019,Clayton,19043,197.5
2020,Clayton,19043,191.1
2021,Clayton,19043,195.3
2022,Clayton,19043,215.4
2023,Clayton,19043,201.1
2024,Clayton,19043,220.2
2025,Clayton,19043,224.0
2000,Clinton,19045,147.1
2001,Clinton,19045,168.1
2002,Clinton,19045,176.9
2003,Clinton,19045,172.8
2004,Clinton,19045,173.1
2005,Clinton,19045,116.8
2006,Clinton,19045,173.8
2007,Clinton,19045,182.7
2008,Clinton,19045,181.0
2009,Clinton,19045,190.4
2010,Clinton,19045,171.2
2011,Clinton,19045,180.0
2012,Clinton,19045,139.6
2013,Clinton,19045,185.6
2014,Clinton,19045,197.0
2015,Clinton,19045,188.2
2016,Clinton,19045,213.8
2017,Clinton,19045,213.3
2018,Clinton,19045,210.9
2019,Clinton,19045,196.1
2020,Clinton,19045,178.4
2021,Clinton,19045,206.5
2022,Clinton,19045,225.2
2023,Clinton,19045,198.0
2024,Clinton,19045,235.9
2025,Clinton,19045,220.9
2000,Crawford,19047,131.1
2001,Crawford,19047,137.6
2002,Crawford,19047,161.3
2003,Crawford,19047,152.0
2004,Crawford,19047,175.6
2005,Crawford,19047,179.2
2006,Crawford,19047,138.7
2007,Crawford,19047,165.5
2008,Crawford,19047,191.0
2009,Crawford,19047,199.6
2010,Crawford,19047,185.8
2011,Crawford,19047,181.8
2012,Crawford,19047,131.3
2013,Crawford,19047,157.8
2014,Crawford,19047,183.0
2015,Crawford,19047,199.1
2016,Crawford,19047,213.5
2017,Crawford,19047,221.9
2018,Crawford,19047,214.0
2019,Crawford,19047,234.7
2020,Crawford,19047,181.2
2021,Crawford,19047,218.5
2022,Crawford,19047,216.4
2023,Crawford,19047,187.9
2024,Crawford,19047,214.2
2025,Crawford,19047,224.9
2000,Dallas,19049,144.3
2001,Dallas,19049,135.6
2002,Dallas,19049,154.2
2003,Dallas,19049,147.6
2004,Dallas,19049,189.6
2005,Dallas,19049,181.7
2006,Dallas,19049,164.3
2007,Dallas,19049,167.5
2008,Dallas,19049,171.0
2009,Dallas,19049,183.7
2010,Dallas,19049,141.9
2011,Dallas,19049,172.1
2012,Dallas,19049,129.0
2013,Dallas,19049,145.3
2014,Dallas,19049,195.5
2015,Dallas,19049,182.4
2016,Dallas,19049,204.0
2017,Dallas,19049,187.2
2018,Dallas,19049,174.0
2019,Dallas,19049,195.0
2020,Dallas,19049,139.7
2021,Dallas,19049,209.9
2022,Dallas,19049,187.2
2023,Dallas,19049,210.9
2025,Dallas,19049,213.3
2000,Davis,19051,149.7
2001,Davis,19051,133.9
2002,Davis,19051,155.4
2003,Davis,19051,125.7
2004,Davis,19051,180.3
2005,Davis,19051,115.0
2006,Davis,19051,161.5
2007,Davis,19051,157.4
2008,Davis,19051,142.0
2009,Davis,19051,142.7
2010,Davis,19051,84.0
2011,Davis,19051,97.8
2012,Davis,19051,52.4
2013,Davis,19051,146.7
2014,Davis,19051,184.2
2015,Davis,19051,142.4
2016,Davis,19051,188.7
2017,Davis,19051,107.3
2019,Davis,19051,160.0
2020,Davis,19051,170.0
2021,Davis,19051,152.5
2022,Davis,19051,154.9
2023,Davis,19051,179.8
2024,Davis,19051,194.9
2025,Davis,19051,192.3
2000,Decatur,19053,148.4
2001,Decatur,19053,116.6
2002,Decatur,19053,132.1
2003,Decatur,19053,128.8
2004,Decatur,19053,175.5
2005,Decatur,19053,163.9
2006,Decatur,19053,157.5
2007,Decatur,19053,155.5
2008,Decatur,19053,112.0
2009,Decatur,19053,144.4
2010,Decatur,19053,94.3
2011,Decatur,19053,126.1
2012,Decatur,19053,61.2
2013,Decatur,19053,131.2
2014,Decatur,19053,164.0
2015,Decatur,19053,162.7
2016,Decatur,19053,181.1
2018,Decatur,19053,172.5
2020,Decatur,19053,159.3
2022,Decatur,19053,148.7
2023,Decatur,19053,205.3
2024,Decatur,19053,172.2
2025,Decatur,19053,182.9
2000,Delaware,19055,144.2
2001,Delaware,19055,169.3
2002,Delaware,19055,183.0
2003,Delaware,19055,158.9
2004,Delaware,19055,176.6
2005,Delaware,19055,177.1
2006,Delaware,19055,180.5
2007,Delaware,19055,179.8
2008,Delaware,19055,159.0
2009,Delaware,19055,176.3
2010,Delaware,19055,175.8
2011,Delaware,19055,186.5
2012,Delaware,19055,129.8
2013,Delaware,19055,184.7
2014,Delaware,19055,174.9
2015,Delaware,19055,195.8
2016,Delaware,19055,202.3
2017,Delaware,19055,218.0
2018,Delaware,19055,224.8
2019,Delaware,19055,204.5
2020,Delaware,19055,190.4
2021,Delaware,19055,218.0
2022,Delaware,19055,230.8
2023,Delaware,19055,198.9
2024,Delaware,19055,219.5
2025,Delaware,19055,224.1
2000,Des Moines,19057,143.9
2001,Des Moines,19057,143.2
2002,Des Moines,19057,161.6
2003,Des Moines,19057,154.4
2004,Des Moines,19057,189.9
2005,Des Moines,19057,154.5
2006,Des Moines,19057,159.2
2007,Des Moines,19057,198.5
2008,Des Moines,19057,186.0
2009,Des Moines,19057,166.4
2010,Des Moines,19057,112.1
2011,Des Moines,19057,146.6
2012,Des Moines,19057,143.7
2013,Des Moines,19057,165.4
2014,Des Moines,19057,199.0
2015,Des Moines,19057,176.0
2016,Des Moines,19057,210.0
2017,Des Moines,19057,200.1
2018,Des Moines,19057,195.4
2019,Des Moines,19057,176.9
2020,Des Moines,19057,190.2
2022,Des Moines,19057,194.8
2023,Des Moines,19057,207.9
2024,Des Moines,19057,221.8
2025,Des Moines,19057,221.1
2000,Dickinson,19059,150.9
2001,Dickinson,19059,129.7
2002,Dickinson,19059,144.5
2003,Dickinson,19059,160.6
2004,Dickinson,19059,188.8
2005,Dickinson,19059,170.4
2006,Dickinson,19059,159.0
2007,Dickinson,19059,165.8
2008,Dickinson,19059,168.0
2009,Dickinson,19059,185.3
2010,Dickinson,19059,181.0
2011,Dickinson,19059,169.3
2012,Dickinson,19059,160.9
2013,Dickinson,19059,162.4
2014,Dickinson,19059,157.9
2015,Dickinson,19059,194.5
2016,Dickinson,19059,188.0
2017,Dickinson,19059,196.2
2018,Dickinson,19059,160.4
2019,Dickinson,19059,170.0
2020,Dickinson,19059,182.2
2021,Dickinson,19059,177.7
2022,Dickinson,19059,203.4
2023,Dickinson,19059,201.3
2024,Dickinson,19059,160.8
2025,Dickinson,19059,220.2
2000,Dubuque,19061,151.3
2001,Dubuque,19061,157.9
2002,Dubuque,19061,173.7
2003,Dubuque,19061,157.1
2004,Dubuque,19061,183.0
2005,Dubuque,19061,183.0
2006,Dubuque,19061,182.6
2007,Dubuque,19061,182.0
2008,Dubuque,19061,158.0
2009,Dubuque,19061,183.8
2010,Dubuque,19061,170.4
2011,Dubuque,19061,185.1
2012,Dubuque,19061,149.4
2013,Dubuque,19061,196.0
2014,Dubuque,19061,184.9
2015,Dubuque,19061,197.0
2016,Dubuque,19061,211.5
2017,Dubuque,19061,215.1
2018,Dubuque,19061,211.8
2019,Dubuque,19061,216.4
2020,Dubuque,19061,197.1
2021,Dubuque,19061,217.2
2022,Dubuque,19061,223.7
2023,Dubuque,19061,199.5
2024,Dubuque,19061,221.7
2025,Dubuque,19061,217.3
2000,Emmet,19063,156.4
2001,Emmet,19063,131.1
2002,Emmet,19063,153.7
2003,Emmet,19063,165.9
2004,Emmet,19063,181.8
2005,Emmet,19063,182.7
2006,Emmet,19063,165.9
2007,Emmet,19063,175.7
2008,Emmet,19063,168.0
2009,Emmet,19063,190.1
2010,Emmet,19063,183.1
2011,Emmet,19063,169.6
2012,Emmet,19063,166.6
2013,Emmet,19063,166.4
2014,Emmet,19063,165.0
2015,Emmet,19063,203.3
2016,Emmet,19063,198.5
2017,Emmet,19063,210.1
2018,Emmet,19063,155.8
2020,Emmet,19063,186.1
2021,Emmet,19063,182.5
2022,Emmet,19063,213.6
2025,Emmet,19063,227.1
2000,Fayette,19065,146.7
2001,Fayette,19065,160.2
2002,Fayette,19065,175.6
2003,Fayette,19065,153.3
2004,Fayette,19065,166.7
2005,Fayette,19065,189.8
2006,Fayette,19065,173.9
2007,Fayette,19065,171.3
2008,Fayette,19065,167.0
2009,Fayette,19065,158.6
2010,Fayette,19065,166.5
2011,Fayette,19065,186.6
2012,Fayette,19065,151.0
2013,Fayette,19065,181.2
2014,Fayette,19065,170.9
2015,Fayette,19065,191.8
2016,Fayette,19065,202.5
2017,Fayette,19065,207.6
2018,Fayette,19065,200.1
2019,Fayette,19065,200.5
2020,Fayette,19065,180.1
2021,Fayette,19065,205.6
2022,Fayette,19065,209.8
2023,Fayette,19065,205.9
2024,Fayette,19065,201.2
2000,Floyd,19067,142.5
2001,Floyd,19067,149.1
2002,Floyd,19067,172.2
2003,Floyd,19067,153.1
2004,Floyd,19067,177.4
2005,Floyd,19067,184.2
2006,Floyd,19067,165.0
2007,Floyd,19067,170.1
2008,Floyd,19067,171.0
2009,Floyd,19067,174.0
2010,Floyd,19067,177.8
2011,Floyd,19067,181.1
2012,Floyd,19067,123.2
2013,Floyd,19067,170.0
2014,Floyd,19067,162.8
2015,Floyd,19067,196.5
2016,Floyd,19067,196.3
2017,Floyd,19067,203.4
2018,Floyd,19067,184.4
2019,Floyd,19067,202.9
2020,Floyd,19067,187.4
2021,Floyd,19067,204.4
2022,Floyd,19067,204.6
2023,Floyd,19067,191.8
2024,Floyd,19067,210.1
2025,Floyd,19067,219.1
2000,Franklin,19069,146.1
2001,Franklin,19069,153.3
2002,Franklin,19069,171.3
2003,Franklin,19069,168.6
2004,Franklin,19069,190.5
2005,Franklin,19069,185.2
2006,Franklin,19069,177.6
2007,Franklin,19069,176.6
2008,Franklin,19069,167.0
2009,Franklin,19069,167.0
2010,Franklin,19069,168.0
2011,Franklin,19069,189.7
2012,Franklin,19069,150.0
2013,Franklin,19069,179.6
2014,Franklin,19069,165.8
2015,Franklin,19069,200.2
2016,Franklin,19069,204.8
2017,Franklin,19069,206.1
2018,Franklin,19069,204.3
2019,Franklin,19069,202.7
2020,Franklin,19069,180.1
2021,Franklin,19069,198.9
2022,Franklin,19069,220.1
2023,Franklin,19069,210.5
2024,Franklin,19069,204.9
2025,Franklin,19069,208.5
2000,Fremont,19071,139.5
2001,Fremont,19071,143.3
2002,Fremont,19071,96.6
2003,Fremont,19071,132.9
2004,Fremont,19071,188.4
2005,Fremont,19071,161.3
2006,Fremont,19071,146.3
2007,Fremont,19071,150.7
2008,Fremont,19071,147.0
2009,Fremont,19071,187.3
2010,Fremont,19071,152.7
2011,Fremont,19071,155.6
2012,Fremont,19071,131.2
2013,Fremont,19071,159.9
2014,Fremont,19071,191.5
2015,Fremont,19071,179.9
2016,Fremont,19071,180.8
2017,Fremont,19071,204.5
2018,Fremont,19071,195.1
2020,Fremont,19071,194.8
2021,Fremont,19071,206.7
2022,Fremont,19071,191.6
2023,Fremont,19071,211.0
2024,Fremont,19071,231.0
2025,Fremont,19071,195.8
2000,Greene,19073,147.0
2001,Greene,19073,140.7
2002,Greene,19073,165.2
2003,Greene,19073,169.3
2004,Greene,19073,186.7
2005,Greene,19073,185.3
2006,Greene,19073,170.6
2007,Greene,19073,179.9
2008,Greene,19073,159.0
2009,Greene,19073,188.1
2010,Greene,19073,167.3
2011,Greene,19073,183.4
2012,Greene,19073,124.6
